codigo,pobtotal,agua,cloaca,hac,p12a17,asistsec,ocupados,radio_amp,a.pob,a.scs,a.ocup,a.tam5,tagua,tcloaca,thaci,teduc,tcober,the
62740402,1516,415,49,142,197,120,692,1,1220,494,470,166,0.2737,0.0323,0.0937,0.6091,0.4049,0.3532
62740403,1430,508,57,136,161,104,639,1,1302,726,449,141,0.3552,0.0399,0.0951,0.6460,0.5576,0.3140
62740404,1442,549,29,242,175,110,638,1,1176,821,517,251,0.3807,0.0201,0.1678,0.6286,0.6981,0.4855
62740405,1127,273,20,141,137,79,574,1,589,287,347,140,0.2422,0.0177,0.1251,0.5766,0.4873,0.4035
62740406,1095,347,36,114,112,71,499,1,1189,467,518,215,0.3169,0.0329,0.1041,0.6339,0.3928,0.4151
62740407,998,239,32,111,119,88,491,1,1179,178,450,108,0.2395,0.0321,0.1112,0.7395,0.1510,0.2400
62740408,843,115,110,75,84,53,390,1,1216,327,507,212,0.1364,0.1305,0.0890,0.6310,0.2689,0.4181
62740409,1591,710,694,225,266,150,722,1,1081,581,534,227,0.4463,0.4362,0.1414,0.5639,0.5375,0.4251
62740410,1275,566,669,145,161,80,566,1,1940,941,707,343,0.4439,0.5247,0.1137,0.4969,0.4851,0.4851
62740411,1095,403,178,156,139,67,474,1,1007,320,412,136,0.3680,0.1626,0.1425,0.4820,0.3178,0.3301
62740412,1968,1935,137,360,273,119,783,1,1210,699,423,149,0.9832,0.0696,0.1829,0.4359,0.5777,0.3522
62740413,1268,867,41,79,169,86,504,1,1223,478,443,168,0.6838,0.0323,0.0623,0.5089,0.3908,0.3792
62740414,1276,1169,39,317,209,113,468,1,1536,1170,480,301,0.9161,0.0306,0.2484,0.5407,0.7617,0.6271
62740415,1392,1380,93,190,165,85,572,1,2035,1352,776,274,0.9914,0.0668,0.1365,0.5152,0.6644,0.3531
62740416,1216,1207,59,196,148,93,533,1,765,367,281,69,0.9926,0.0485,0.1612,0.6284,0.4797,0.2456
62740417,1181,882,53,180,133,82,530,1,1011,518,451,158,0.7468,0.0449,0.1524,0.6165,0.5124,0.3503
62740501,888,807,29,59,111,73,446,0,NA,NA,NA,NA,0.9088,0.0327,0.0664,0.6577,0.5123,0.4290
62740502,937,475,49,46,108,67,466,1,659,200,301,117,0.5069,0.0523,0.0491,0.6204,0.3035,0.3887
62740503,995,807,55,83,99,77,462,1,1342,477,553,175,0.8111,0.0553,0.0834,0.7778,0.3554,0.3165
62740504,1263,704,37,124,161,77,556,1,883,583,407,188,0.5574,0.0293,0.0982,0.4783,0.6602,0.4619
62740505,967,944,55,125,124,74,411,1,1366,977,632,309,0.9762,0.0569,0.1293,0.5968,0.7152,0.4889
62740506,895,889,25,92,125,73,425,0,NA,NA,NA,NA,0.9933,0.0279,0.1028,0.5840,0.5123,0.4290
62740507,1291,1286,32,227,195,98,575,1,1736,1033,771,368,0.9961,0.0248,0.1758,0.5026,0.5950,0.4773
62740508,1343,1300,77,50,159,96,683,1,1552,717,940,543,0.9680,0.0573,0.0372,0.6038,0.4620,0.5777
62740509,990,841,44,98,122,70,451,0,NA,NA,NA,NA,0.8495,0.0444,0.0990,0.5738,0.5123,0.4290
62740510,1104,1029,24,82,106,78,480,1,1137,505,541,132,0.9321,0.0217,0.0743,0.7358,0.4442,0.2440
62740511,1247,1202,30,91,137,80,617,1,1857,793,830,351,0.9639,0.0241,0.0730,0.5839,0.4270,0.4229
62740512,1281,1168,59,115,149,89,585,1,650,231,319,116,0.9118,0.0461,0.0898,0.5973,0.3554,0.3636
62740513,1142,1055,83,166,127,69,503,1,1281,942,439,250,0.9238,0.0727,0.1454,0.5433,0.7354,0.5695
62740514,1458,1351,83,258,230,135,665,1,1985,901,982,343,0.9266,0.0569,0.1770,0.5870,0.4539,0.3493
62740515,1396,1224,57,139,202,118,613,1,870,377,299,161,0.8768,0.0408,0.0996,0.5842,0.4333,0.5385
62740516,1114,1008,67,166,141,60,451,1,960,604,285,78,0.9048,0.0601,0.1490,0.4255,0.6292,0.2737
62740601,1495,1490,112,140,176,99,708,1,1129,701,362,145,0.9967,0.0749,0.0936,0.5625,0.6209,0.4006
62740602,1035,1010,28,81,112,61,541,1,831,256,390,159,0.9758,0.0271,0.0783,0.5446,0.3081,0.4077
62740603,1106,859,20,110,136,81,501,1,1133,395,437,128,0.7767,0.0181,0.0995,0.5956,0.3486,0.2929
62740604,1005,981,6,43,112,71,481,1,978,232,416,80,0.9761,0.0060,0.0428,0.6339,0.2372,0.1923
62740605,1427,1393,47,144,147,97,678,1,1436,446,677,274,0.9762,0.0329,0.1009,0.6599,0.3106,0.4047
62740606,1461,1452,59,110,192,119,706,1,612,239,329,140,0.9938,0.0404,0.0753,0.6198,0.3905,0.4255
62740607,969,967,35,107,133,86,478,1,976,481,365,188,0.9979,0.0361,0.1104,0.6466,0.4928,0.5151
62740608,935,931,20,146,102,64,428,1,915,346,511,292,0.9957,0.0214,0.1561,0.6275,0.3781,0.5714
62740609,968,964,16,108,112,72,410,1,1108,546,377,186,0.9959,0.0165,0.1116,0.6429,0.4928,0.4934
62740610,902,886,1,49,88,58,419,1,966,274,376,145,0.9823,0.0011,0.0543,0.6591,0.2836,0.3856
62740611,1006,998,0,103,126,90,391,1,1141,464,354,146,0.9920,0.0000,0.1024,0.7143,0.4067,0.4124
62740612,1004,990,44,54,123,83,437,1,1340,617,449,208,0.9861,0.0438,0.0538,0.6748,0.4604,0.4633
62740613,951,943,35,131,126,70,400,1,1024,312,424,167,0.9916,0.0368,0.1377,0.5556,0.3047,0.3939
62740614,1021,1021,38,161,137,93,483,1,1196,664,519,157,1.0000,0.0372,0.1577,0.6788,0.5552,0.3025
62740615,1515,1146,92,277,220,119,671,1,1303,858,503,274,0.7564,0.0607,0.1828,0.5409,0.6585,0.5447
62740616,926,923,5,235,139,62,354,1,1116,1089,294,149,0.9968,0.0054,0.2538,0.4460,0.9758,0.5068
62740617,1162,1149,16,136,201,117,581,1,1359,846,563,293,0.9888,0.0138,0.1170,0.5821,0.6225,0.5204
62740618,1047,992,12,206,157,81,440,1,937,566,448,165,0.9475,0.0115,0.1968,0.5159,0.6041,0.3683
62740619,816,694,10,88,132,88,315,1,838,543,326,168,0.8505,0.0123,0.1078,0.6667,0.6480,0.5153
62740620,1604,1446,35,420,250,131,631,1,1234,878,366,254,0.9015,0.0218,0.2618,0.5240,0.7115,0.6940
62740701,617,291,8,39,59,43,300,1,555,212,235,97,0.4716,0.0130,0.0632,0.7288,0.3820,0.4128
62740702,978,699,0,98,87,50,421,1,931,338,353,144,0.7147,0.0000,0.1002,0.5747,0.3631,0.4079
62740703,1216,1085,25,268,167,95,481,1,1051,832,416,247,0.8923,0.0206,0.2204,0.5689,0.7916,0.5938
62740704,1202,811,12,204,161,59,489,1,1021,648,408,239,0.6747,0.0100,0.1697,0.3665,0.6347,0.5858
62740705,1152,1090,31,135,166,110,509,1,900,633,487,221,0.9462,0.0269,0.1172,0.6627,0.7033,0.4538
62740706,1502,1378,28,161,241,149,609,1,1832,1002,788,338,0.9174,0.0186,0.1072,0.6183,0.5469,0.4289
62740707,1468,1320,39,224,192,132,598,1,931,713,348,248,0.8992,0.0266,0.1526,0.6875,0.7658,0.7126
62740708,1626,1524,21,355,207,114,667,1,2170,1313,832,417,0.9373,0.0129,0.2183,0.5507,0.6051,0.5012
62740709,1319,1210,6,180,158,85,566,1,831,500,312,115,0.9174,0.0045,0.1365,0.5380,0.6017,0.3686
62740710,1217,1137,23,158,157,94,471,1,1254,804,473,242,0.9343,0.0189,0.1298,0.5987,0.6411,0.5116
62740711,894,862,4,145,123,73,363,1,1401,538,657,300,0.9642,0.0045,0.1622,0.5935,0.3840,0.4566
62740712,1085,1036,2,110,151,81,450,1,1223,845,437,195,0.9548,0.0018,0.1014,0.5364,0.6909,0.4462
62740713,1454,1390,21,278,200,89,519,1,1023,698,404,277,0.9560,0.0144,0.1912,0.4450,0.6823,0.6856
62740801,682,544,10,82,95,54,324,1,906,488,326,182,0.7977,0.0147,0.1202,0.5684,0.5386,0.5583
62740802,907,743,364,37,122,79,419,0,NA,NA,NA,NA,0.8192,0.4013,0.0408,0.6475,0.6146,0.4792
62740803,782,750,651,5,53,27,346,1,786,221,246,59,0.9591,0.8325,0.0064,0.5094,0.2812,0.2398
62740804,968,903,960,59,125,70,435,1,913,503,392,137,0.9329,0.9917,0.0610,0.5600,0.5509,0.3495
62740805,826,696,816,0,93,67,365,1,1289,447,541,211,0.8426,0.9879,0.0000,0.7204,0.3468,0.3900
62740806,687,559,685,12,88,66,262,1,1342,852,376,129,0.8137,0.9971,0.0175,0.7500,0.6349,0.3431
62740807,1409,1198,1370,21,178,114,597,1,1213,618,378,164,0.8502,0.9723,0.0149,0.6404,0.5095,0.4339
